model_id,item_id,response
allenai/olmo-7b,mmlu:35,0
allenai/olmo-7b,mmlu:47,0
allenai/olmo-7b,mmlu:63,0
allenai/olmo-7b,mmlu:70,0
allenai/olmo-7b,mmlu:99,0
allenai/olmo-7b,mmlu:168,0
allenai/olmo-7b,mmlu:181,1
allenai/olmo-7b,mmlu:304,1
allenai/olmo-7b,mmlu:311,0
allenai/olmo-7b,mmlu:353,1
allenai/olmo-7b,mmlu:360,0
allenai/olmo-7b,mmlu:379,1
allenai/olmo-7b,mmlu:385,0
allenai/olmo-7b,mmlu:399,1
allenai/olmo-7b,mmlu:410,0
allenai/olmo-7b,mmlu:450,0
allenai/olmo-7b,mmlu:455,0
allenai/olmo-7b,mmlu:457,0
allenai/olmo-7b,mmlu:518,1
allenai/olmo-7b,mmlu:533,0
allenai/olmo-7b,mmlu:542,0
allenai/olmo-7b,mmlu:624,0
allenai/olmo-7b,mmlu:704,1
allenai/olmo-7b,mmlu:720,0
allenai/olmo-7b,mmlu:811,0
allenai/olmo-7b,mmlu:937,0
allenai/olmo-7b,mmlu:978,0
allenai/olmo-7b,mmlu:993,1
allenai/olmo-7b,mmlu:1002,1
allenai/olmo-7b,mmlu:1010,0
allenai/olmo-7b,mmlu:1022,0
allenai/olmo-7b,mmlu:1061,0
allenai/olmo-7b,mmlu:1078,0
allenai/olmo-7b,mmlu:1086,0
allenai/olmo-7b,mmlu:1107,1
allenai/olmo-7b,mmlu:1142,1
allenai/olmo-7b,mmlu:1346,0
allenai/olmo-7b,mmlu:1351,0
allenai/olmo-7b,mmlu:1355,1
allenai/olmo-7b,mmlu:1385,0
allenai/olmo-7b,mmlu:1418,0
allenai/olmo-7b,mmlu:1430,1
allenai/olmo-7b,mmlu:1491,1
allenai/olmo-7b,mmlu:1493,0
allenai/olmo-7b,mmlu:1508,1
allenai/olmo-7b,mmlu:1562,0
allenai/olmo-7b,mmlu:1611,0
allenai/olmo-7b,mmlu:1626,0
allenai/olmo-7b,mmlu:1684,0
allenai/olmo-7b,mmlu:1705,0
allenai/olmo-7b,mmlu:1795,0
allenai/olmo-7b,mmlu:1807,0
allenai/olmo-7b,mmlu:1880,0
allenai/olmo-7b,mmlu:1957,0
allenai/olmo-7b,mmlu:1983,0
allenai/olmo-7b,mmlu:2021,0
allenai/olmo-7b,mmlu:2057,1
allenai/olmo-7b,mmlu:2095,1
allenai/olmo-7b,mmlu:2145,1
allenai/olmo-7b,mmlu:2227,1
allenai/olmo-7b,mmlu:2236,0
allenai/olmo-7b,mmlu:2238,0
allenai/olmo-7b,mmlu:2254,0
allenai/olmo-7b,mmlu:2264,0
allenai/olmo-7b,mmlu:2271,0
allenai/olmo-7b,mmlu:2301,1
allenai/olmo-7b,mmlu:2319,0
allenai/olmo-7b,mmlu:2320,0
allenai/olmo-7b,mmlu:2344,0
allenai/olmo-7b,mmlu:2407,1
allenai/olmo-7b,mmlu:2417,0
allenai/olmo-7b,mmlu:2459,0
allenai/olmo-7b,mmlu:2478,0
allenai/olmo-7b,mmlu:2495,0
allenai/olmo-7b,mmlu:2611,1
allenai/olmo-7b,mmlu:2631,1
allenai/olmo-7b,mmlu:2673,1
allenai/olmo-7b,mmlu:2677,1
