item_id,item_text,benchmark,category
mmlu:35," According to Lee and George, ova/sperm are not human beings because",mmlu,mmlu
mmlu:47," According to Reiman, van den Haag's argument leads to the conclusion that",mmlu,mmlu
mmlu:63," According to consequentialist theories of punishment, a lawbreaker should be punished only if",mmlu,mmlu
mmlu:70," According to the basic principle of natural law theory, an action is right if and only if (and because)",mmlu,mmlu
mmlu:99," Callahan cites the Oregon Death with Dignity Legal Defense and the Education Center's finding that ""after four full years .. there have been no missteps, abuses or coercive tendencies"" regarding laws permitting euthanasia. In response he argues that",mmlu,mmlu
mmlu:168," In Baxter's view, the first and foremost step toward a solution of our environmental problems is a clear recognition that our objective is not pure air or water but rather",mmlu,mmlu
mmlu:181," In conducting international market research, there are three types of equivalence. Which of the following is NOT one of the equivalences?",mmlu,mmlu
mmlu:304," Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∀x){Ax ⊃ (∀y)[(Hy • Ly) ⊃ ∼Bxy]}",mmlu,mmlu
mmlu:311, Select the best translation into predicate logic. All planets are smaller than Jupiter. (j: Jupiter; Px: x is a planet; Sxy: x is smaller than y),mmlu,mmlu
mmlu:353, The classic text Daodejing is known by what title in English?,mmlu,mmlu
mmlu:360," The most common form of cosmopolitanism is _____ cosmopolitanism, according to which those in a position to do so have an obligation to assist those in need because of poverty and to promote basic human rights.",mmlu,mmlu
mmlu:379, The view according to which wars are always (or at least nearly always) morally wrong is known as,mmlu,mmlu
mmlu:385, These store goods for moderate to long periods:,mmlu,mmlu
mmlu:399, This pricing approach is used when the firm sets prices according to how much customers are prepared to pay:,mmlu,mmlu
mmlu:410, Types of non-random samples include:,mmlu,mmlu
mmlu:450, What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,mmlu,mmlu
mmlu:455, What is the foremost reason for wearing the hijab in the present day?,mmlu,mmlu
mmlu:457, What is the main reason why Arthur doesn't think that the poor have a right to aid from the affluent?,mmlu,mmlu
mmlu:518," Which of the following is a problem for Kant's principle of equality and an ""eye for an eye"" according to Nathanson?",mmlu,mmlu
mmlu:533, Which of the following is not a useful base for segmenting organizational characteristics?,mmlu,mmlu
mmlu:542, Which of the following is not one of the four main excuses for terrorism that Michael Walzer discusses?,mmlu,mmlu
mmlu:624,"""A 14-year old boy is arrested for the third time for shoplifting. His mother seems unconcerned and says """"he's just going through a phase."""" His father decides to go fishing on the day of the boy's court hearing, and his sister says she can't attend his court hearing because she has too much homework. From the perspective of structural family therapy, this family is best described as:""",mmlu,mmlu
mmlu:704,"A 15-year-old girl is brought to the office by her mother because of abdominal pain and constipation for the past several weeks. Her mother says, ""She is getting almost all A's in school and she is on the track team."" You ask the patient about her diet and she responds, ""I'm kind of a picky eater."" She requests a laxative to help with her constipation. She is 158 cm (5 ft 2 in) tall and weighs 43 kg (95 lb); BMI is 18 kg/m2 . Pulse is 65/min. Specific additional history should be obtained regarding which of the following?",mmlu,mmlu
mmlu:720,"A 19-year-old Asian female college student comes to the university health center because of a 1-week history of nasal stuffiness, occasional clear rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but she has not taken her temperature. Medical history is unremarkable and her only medication is an oral contraceptive. She has no history of allergies. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination discloses tenderness over the left maxillary sinus without purulent drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?",mmlu,mmlu
mmlu:811,"A 35-year-old man comes to the office for follow-up of sarcoidosis. His only new complaint is pain in his legs that increases with weight-bearing. He has been taking glucocorticoid therapy for the past 6 months. Vital signs now are temperature 37.0°C (98.6°F), pulse 78/min, respirations 14/min, and blood pressure 110/70 mm Hg. The patient is thin and is in no acute distress. Auscultation of the chest discloses scattered bilateral basilar crackles. There is mild left hip pain present with both active and passive range of motion. Dorsalis pedis pulse is intact. Neurologic examination is normal. Which of the following is the most likely cause of this patient's symptoms?",mmlu,mmlu
mmlu:937,A Binary number system has how many digits.,mmlu,mmlu
mmlu:978,A behavior that is elicited automatically by an environmental stimulus is called a(n),mmlu,mmlu
mmlu:993,"A box contains 4 white balls and 4 black balls. I draw them out of the box, one at a time. What is the probability that all of my draws alternate colors?",mmlu,mmlu
mmlu:1002,"A brother and his sister, who was 15 years old, had just left a movie theater late one evening and were walking toward a dimly lit parking lot to get to their car. As they reached the car, a defendant, who was visibly intoxicated, emerged from behind a trash can and approached them. The defendant knocked the brother to the ground and hit him over the head with a trash can, causing the brother to lose consciousness. The defendant then forced the sister into the car and raped her. The defendant is charged with assault with intent to commit rape, based on his attack on the brother. The defendant's best defense would be which of the following statements?",mmlu,mmlu
mmlu:1010,"A business owner had a feud and ""bitter blood"" with a former employee. One day that employee came uninvited into the owner's office brandishing a loaded shotgun, approached the owner's desk and raised the weapon. The owner, however, was secretly waiting for the opportunity. As the employee began to press on the trigger, the owner pulled a gun from her drawer and killed him. The owner admitted she felt malice toward her enemy. The authorities charged her with murder. Can she be convicted?",mmlu,mmlu
